decision_id,task_id,decision_path,director_version,decision_type,selected_role_id,selected_role_version,agent_job_id,status,supersedes_decision_id,requires_human_gate,created_at,activated_at,completed_at,validation_status,notes
DDR-20260811-013,RT-20260811-013,research_control/tasks/RT-20260811-013/DDR-20260811-013.md,director-of-research@0.3.0,task_overlay,ontology-formalizer,0.2.0,AJ-RT-20260811-013-001,completed,DDR-20260811-012,false,2026-08-12T00:21:23Z,2026-08-12T00:21:23Z,2026-08-12T00:52:01Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Handoff-1026 and committed RT012 authorized one completed bounded census with a precise typing obstruction and one theoretical selector selected but unexecuted.
DDR-20260811-012,RT-20260811-012,research_control/tasks/RT-20260811-012/DDR-20260811-012.md,director-of-research@0.3.0,task_overlay,theoretical-continuation-selector,0.1.0,AJ-RT-20260811-012-001,completed,DDR-20260811-011,false,2026-08-11T23:05:46Z,2026-08-11T23:05:46Z,2026-08-11T23:32:07Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Handoff-1025 and committed RT011 authorized one completed four-route selector with one bounded current-signature census selected but unexecuted.
DDR-20260811-011,RT-20260811-011,research_control/tasks/RT-20260811-011/DDR-20260811-011.md,director-of-research@0.3.0,task_overlay,ontology-formalizer,0.2.0,AJ-RT-20260811-011-001,completed,DDR-20260811-010,false,2026-08-11T21:35:09Z,2026-08-11T21:35:09Z,2026-08-11T22:06:44Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Handoff-1024 and committed RT010 authorized one completed current-ontology provenance obstruction with six freezes preserved and one unexecuted theoretical selector.
DDR-20260811-010,RT-20260811-010,research_control/tasks/RT-20260811-010/DDR-20260811-010.md,director-of-research@0.3.0,task_overlay,theoretical-continuation-selector,0.1.0,AJ-RT-20260811-010-001,completed,DDR-20260811-009,false,2026-08-11T20:13:27Z,2026-08-11T20:13:27Z,2026-08-11T20:52:45Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Handoff-1023 and committed RT009 authorized one completed four-route theoretical selection with six freezes and one proposal-only future packet selected but unexecuted.
DDR-20260811-009,RT-20260811-009,research_control/tasks/RT-20260811-009/DDR-20260811-009.md,director-of-research@0.3.0,task_overlay,refuter,0.2.0,AJ-RT-20260811-009-001,completed,DDR-20260811-008,false,2026-08-11T18:45:38Z,2026-08-11T18:45:38Z,2026-08-11T19:19:29Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Handoff-1022 and committed RT008 authorized one completed source-law-space Refuter stress one candidate-local freeze one unexecuted theoretical selector and no authority expansion.
DDR-20260811-008,RT-20260811-008,research_control/tasks/RT-20260811-008/DDR-20260811-008.md,director-of-research@0.3.0,task_overlay,smuggling-auditor,0.2.0,AJ-RT-20260811-008-001,completed,DDR-20260811-007,false,2026-08-11T17:22:19Z,2026-08-11T17:22:19Z,2026-08-11T17:48:00Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Handoff-1021 and committed RT007 authorized one completed narrow source-extension audit one unexecuted Refuter successor and no authority expansion.
DDR-20260811-007,RT-20260811-007,research_control/tasks/RT-20260811-007/DDR-20260811-007.md,director-of-research@0.3.0,task_overlay,ontology-formalizer,0.2.0,AJ-RT-20260811-007-001,completed,DDR-20260811-006,false,2026-08-11T16:03:00Z,2026-08-11T16:03:00Z,2026-08-11T16:31:42Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Handoff-1020 and committed RT006 authorized one completed conditional proposal-only robust-invariance theorem candidate one unexecuted Smuggling Auditor successor and no authority expansion.
DDR-20260811-006,RT-20260811-006,research_control/tasks/RT-20260811-006/DDR-20260811-006.md,director-of-research@0.3.0,task_overlay,theoretical-continuation-selector,0.1.0,AJ-RT-20260811-006-001,completed,DDR-20260811-005,false,2026-08-11T14:35:09Z,2026-08-11T14:35:09Z,2026-08-11T15:18:28Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Handoff-1019 and committed RT005 authorized one completed four-route theoretical selector selecting one unexecuted source-law-space robust-invariance packet with no authority expansion.
DDR-20260811-005,RT-20260811-005,research_control/tasks/RT-20260811-005/DDR-20260811-005.md,director-of-research@0.3.0,task_overlay,refuter,0.2.0,AJ-RT-20260811-005-001,completed,DDR-20260811-004,false,2026-08-11T12:49:27Z,2026-08-11T12:49:27Z,2026-08-11T13:21:58Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Handoff-1018 and committed RT004 authorized one completed source-extension Refuter stress one candidate-local freeze one unexecuted theoretical selector and no authority expansion.
DDR-20260811-004,RT-20260811-004,research_control/tasks/RT-20260811-004/DDR-20260811-004.md,director-of-research@0.3.0,task_overlay,smuggling-auditor,0.2.0,AJ-RT-20260811-004-001,completed,DDR-20260811-003,false,2026-08-11T11:27:05Z,2026-08-11T11:27:05Z,2026-08-11T11:56:41Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Handoff-1017 and committed RT003 authorized one completed source-purity audit one unexecuted Refuter successor and no authority expansion.
DDR-20260811-003,RT-20260811-003,research_control/tasks/RT-20260811-003/DDR-20260811-003.md,director-of-research@0.3.0,task_overlay,ontology-formalizer,0.2.0,AJ-RT-20260811-003-001,completed,DDR-20260811-002,false,2026-08-11T10:15:00Z,2026-08-11T10:15:00Z,2026-08-11T10:52:00Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed one handoff-1016-authorized proposal-only signed cubic viability-selector formalization with one unexecuted Smuggling Auditor successor.
DDR-20260811-002,RT-20260811-002,research_control/tasks/RT-20260811-002/DDR-20260811-002.md,director-of-research@0.3.0,task_overlay,theoretical-continuation-selector,0.1.0,AJ-RT-20260811-002-001,completed,DDR-20260811-001,false,2026-08-11T08:30:30Z,2026-08-11T08:30:30Z,2026-08-11T09:05:00Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed one exact four-route selector and selected one unexecuted source dynamical viability admissibility formalization packet with no authority expansion.
DDR-20260811-001,RT-20260811-001,research_control/tasks/RT-20260811-001/DDR-20260811-001.md,director-of-research@0.3.0,task_overlay,refuter,0.2.0,AJ-RT-20260811-001-001,completed,DDR-20260810-017,false,2026-08-11T06:31:00Z,2026-08-11T06:31:00Z,2026-08-11T07:30:00Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed the handoff-1014-authorized Bridge_OM general-rank Refuter stress with scoped obstruction local freeze and no authority expansion.
DDR-20260810-017,RT-20260810-017,research_control/tasks/RT-20260810-017/DDR-20260810-017.md,director-of-research@0.3.0,task_overlay,smuggling-auditor,0.2.0,AJ-RT-20260810-017-001,completed,DDR-20260810-016,false,2026-08-11T04:56:06Z,2026-08-11T04:56:06Z,2026-08-11T05:22:10Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed the handoff-1013-authorized focused general-rank repair audit with two-child synthesis and no authority expansion.
DDR-20260810-016,RT-20260810-016,research_control/tasks/RT-20260810-016/DDR-20260810-016.md,director-of-research@0.3.0,task_overlay,candidate-constructor,0.2.0,AJ-RT-20260810-016-001,completed,DDR-20260810-015,false,2026-08-11T03:24:12Z,2026-08-11T03:24:12Z,2026-08-11T03:59:32Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed the handoff-1012-authorized arbitrary-finite-rank Bridge_OM repair with exact controls parent-child synthesis and no authority expansion.
DDR-20260810-013,RT-20260810-013,research_control/tasks/RT-20260810-013/DDR-20260810-013.md,director-of-research@0.3.0,task_overlay,theoretical-continuation-selector,0.1.0,AJ-RT-20260810-013-001,completed,DDR-20260810-012,false,2026-08-10T22:24:48Z,2026-08-10T22:24:48Z,2026-08-10T23:22:00Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed after one exact four-route comparison and one unexecuted Route B Candidate Constructor packet selection with no promotion.
DDR-20260810-014,RT-20260810-014,research_control/tasks/RT-20260810-014/DDR-20260810-014.md,director-of-research@0.3.0,task_overlay,candidate-constructor,0.2.0,AJ-RT-20260810-014-001,completed,DDR-20260810-013,false,2026-08-11T00:09:34Z,2026-08-11T00:09:34Z,2026-08-11T00:58:56Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The governed RT013 checkpoint and handoff-1010 selected one bounded full finite Bridge_OM packet; it completed as a proposal-only constructed candidate pending a separately admitted Smuggling Auditor.
DDR-20260810-015,RT-20260810-015,research_control/tasks/RT-20260810-015/DDR-20260810-015.md,director-of-research@0.3.0,task_overlay,smuggling-auditor,0.2.0,AJ-RT-20260810-015-001,completed,DDR-20260810-014,false,2026-08-11T01:49:17Z,2026-08-11T01:49:17Z,2026-08-11T02:29:03Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The bounded Smuggling Auditor completed with repair_required after one resolved parent-child conflict and selected one unexecuted general-rank Candidate Constructor repair with no downstream authority.
DDR-20260810-012,RT-20260810-012,research_control/tasks/RT-20260810-012/DDR-20260810-012.md,director-of-research@0.3.0,task_overlay,refuter,0.2.0,AJ-RT-20260810-012-001,completed,DDR-20260810-011,false,2026-08-10T20:41:50Z,2026-08-10T20:41:50Z,2026-08-10T21:22:30Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed after one scoped-obstruction common-character Refuter stress one candidate-local freeze and one unexecuted theoretical-selector selection with no promotion.
DDR-20260810-011,RT-20260810-011,research_control/tasks/RT-20260810-011/DDR-20260810-011.md,director-of-research@0.3.0,task_overlay,smuggling-auditor,0.2.0,AJ-RT-20260810-011-001,completed,DDR-20260810-010,false,2026-08-10T19:25:32Z,2026-08-10T19:25:32Z,2026-08-10T19:50:54Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The bounded audit returns source_pure_as_written with explicit H1 perturbation anchor nonselection covector and collapse controls and selects one unexecuted Refuter stress without adequacy activation P4-T03 adoption physical or external authority.
DDR-20260810-010,RT-20260810-010,research_control/tasks/RT-20260810-010/DDR-20260810-010.md,director-of-research@0.3.0,task_overlay,ontology-formalizer,0.2.0,AJ-RT-20260810-010-001,completed,DDR-20260810-009,false,2026-08-10T17:53:54Z,2026-08-10T17:53:54Z,2026-08-10T18:31:15Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The bounded packet constructed an anchored proposal-only source law with exact proofs and selected one unexecuted source-extension smuggling audit; no adoption adequacy activation physical Gate or external authority was created.
DDR-20260810-009,RT-20260810-009,research_control/tasks/RT-20260810-009/DDR-20260810-009.md,director-of-research@0.3.0,task_overlay,theoretical-continuation-selector,0.1.0,AJ-RT-20260810-009-001,completed,DDR-20260810-008,false,2026-08-10T16:13:10Z,2026-08-10T16:13:10Z,2026-08-10T16:54:11Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The bounded selector compares exactly three routes resolves the child conflict in two rounds and selects one unexecuted Route-B ontology-law packet with no construction adoption adequacy B2 P4-T03 physical Gate promotion or external authority.
DDR-20260810-008,RT-20260810-008,research_control/tasks/RT-20260810-008/DDR-20260810-008.md,director-of-research@0.3.0,task_overlay,refuter,0.2.0,AJ-RT-20260810-008-001,completed,DDR-20260810-007,false,2026-08-10T14:44:30Z,2026-08-10T14:44:30Z,2026-08-10T15:07:03Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The bounded stress returns one scoped obstruction and candidate-scope local freeze then selects one unexecuted theoretical selector with no adequacy B2 P4-T03 adoption physical Gate promotion or external authority.
DDR-20260810-007,RT-20260810-007,research_control/tasks/RT-20260810-007/DDR-20260810-007.md,director-of-research@0.3.0,task_overlay,candidate-constructor,0.2.0,AJ-RT-20260810-007-001,completed,DDR-20260810-006,false,2026-08-10T13:09:17Z,2026-08-10T13:09:17Z,2026-08-10T13:37:15Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The committed RT006 checkpoint and handoff-1003 select one bounded P4-T02 common-envelope quotient-rank repair with two internal specialist perspectives and no Refuter execution adequacy activation P4-T03 adoption physical or external authority.
DDR-20260810-001,RT-20260810-001,research_control/tasks/RT-20260810-001/DDR-20260810-001.md,director-of-research@0.3.0,task_overlay,candidate-constructor,0.2.0,AJ-RT-20260810-001-001,completed,DDR-20260809-027,false,2026-08-10T06:15:24Z,2026-08-10T06:15:24Z,2026-08-10T06:44:58Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The committed RT027 checkpoint and handoff0997 select one bounded P4-T02 source-intrinsic repair-or-obstruction packet with embedded Refuter stress and no adequacy activation P4-T03 or external authority.
DDR-20260809-027,RT-20260809-027,research_control/tasks/RT-20260809-027/DDR-20260809-027.md,director-of-research@0.3.0,task_overlay,process-integrity-auditor,0.1.0,AJ-RT-20260809-027-001,completed,DDR-20260809-026,false,2026-08-10T05:06:11Z,2026-08-10T05:06:11Z,2026-08-10T05:06:11Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,One consumed receipt and ten exact EOF findings uniquely select bounded Process Integrity recovery without science or shared-validator change.
DDR-20260809-026,RT-20260809-026,research_control/tasks/RT-20260809-026/DDR-20260809-026.md,director-of-research@0.3.0,task_overlay,smuggling-auditor,0.2.0,AJ-RT-20260809-026-001,completed,DDR-20260809-025,false,2026-08-10T04:10:46Z,2026-08-10T04:10:46Z,2026-08-10T04:18:08Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The committed RT025 checkpoint and handoff0995 select one populated-instance P4-T02 audit that records five source-interface defects and one guarded repair route without adequacy activation P4-T03 or external authority.
DDR-20260809-025,RT-20260809-025,research_control/tasks/RT-20260809-025/DDR-20260809-025.md,director-of-research@0.3.0,task_overlay,process-integrity-auditor,0.1.0,AJ-RT-20260809-025-001,completed,DDR-20260809-024,false,2026-08-10T03:09:36Z,2026-08-10T03:09:36Z,2026-08-10T03:09:36Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,One consumed receipt and two exact EOF findings uniquely select bounded Process Integrity recovery without science or shared-validator change.
DDR-20260809-024,RT-20260809-024,research_control/tasks/RT-20260809-024/DDR-20260809-024.md,director-of-research@0.3.0,task_overlay,process-integrity-auditor,0.1.0,AJ-RT-20260809-024-001,completed,DDR-20260809-023,false,2026-08-10T02:17:30Z,2026-08-10T02:17:30Z,2026-08-10T02:17:30Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Four sealed failed receipts and one deterministic 23-finding output uniquely select bounded Process Integrity recovery without science or shared-validator change.
DDR-20260809-023,RT-20260809-023,research_control/tasks/RT-20260809-023/DDR-20260809-023.md,director-of-research@0.3.0,task_overlay,candidate-constructor,0.2.0,AJ-RT-20260809-023-001,completed,DDR-20260809-022,false,2026-08-10T01:19:53Z,2026-08-10T01:19:53Z,2026-08-10T01:39:30Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The committed RT-022 checkpoint and handoff-0992 select one P4-T02 descriptor construction-or-obstruction packet that populates all ten slots and records the D7 authority separation without adequacy activation P4-T03 or external authority.
DDR-20260809-022,RT-20260809-022,research_control/tasks/RT-20260809-022/DDR-20260809-022.md,director-of-research@0.3.0,task_overlay,smuggling-auditor,0.2.0,AJ-RT-20260809-022-001,completed,DDR-20260809-021,false,2026-08-10T00:02:08Z,2026-08-10T00:02:08Z,2026-08-10T00:13:46Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The committed RT-021 checkpoint and handoff-0991 select one exhaustive P4-T02 descriptor smuggling audit that records one precise theorem-scope obstruction and routes guarded construction without activation adoption P4-T03 or external authority.
DDR-20260809-021,RT-20260809-021,research_control/tasks/RT-20260809-021/DDR-20260809-021.md,director-of-research@0.3.0,task_overlay,ontology-formalizer,0.2.0,AJ-RT-20260809-021-001,completed,DDR-20260809-020,false,2026-08-09T22:39:20Z,2026-08-09T22:39:20Z,2026-08-09T22:55:12Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The committed RT-020 checkpoint and handoff-0990 select one P4-T02 descriptor-law formalization that proves a scoped finite-trace obstruction and routes one future smuggling audit without construction adoption activation P4-T03 or external authority.
DDR-20260809-020,RT-20260809-020,research_control/tasks/RT-20260809-020/DDR-20260809-020.md,director-of-research@0.3.0,task_overlay,theoretical-continuation-selector,0.1.0,AJ-RT-20260809-020-001,completed,DDR-20260809-019,false,2026-08-09T21:27:35Z,2026-08-09T21:27:35Z,2026-08-09T21:42:30Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The committed RT-019 checkpoint and handoff-0989 select one exact B2 activation selector that chooses a proposal-only descriptor formalization route without activation adoption P4-T03 or external authority.
DDR-20260809-019,RT-20260809-019,research_control/tasks/RT-20260809-019/DDR-20260809-019.md,director-of-research@0.3.0,task_overlay,refuter,0.2.0,AJ-RT-20260809-019-001,completed,DDR-20260809-018,false,2026-08-09T20:08:07Z,2026-08-09T20:08:07Z,2026-08-09T20:31:00Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The committed RT-018 checkpoint and handoff-0988 select one P4-T02 Refuter stress packet that preserves fixed source hyperbolicity records a scoped B1 obstruction and routes a fresh inactive-B2 selector without protected Gate or external authority.
DDR-20260809-018,RT-20260809-018,research_control/tasks/RT-20260809-018/DDR-20260809-018.md,director-of-research@0.3.0,task_overlay,ontology-formalizer,0.2.0,AJ-RT-20260809-018-001,completed,DDR-20260809-017,false,2026-08-09T19:05:58Z,2026-08-09T19:05:58Z,2026-08-09T19:17:33Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The committed RT-017 checkpoint and handoff-0987 select one P4-T01 Ontology Formalizer theorem packet with internal hyperbolic-PDE Refuter and Validator Engineer pressure; P4-T02 remains separate.
DDR-20260809-017,RT-20260809-017,research_control/tasks/RT-20260809-017/DDR-20260809-017.md,director-of-research@0.3.0,task_overlay,process-integrity-auditor,0.1.0,AJ-RT-20260809-017-001,completed,DDR-20260809-016,false,2026-08-09T18:12:48Z,2026-08-09T18:12:48Z,2026-08-09T18:20:53Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,"The consumed P3-T04 checkpoint and eleven exact EOF findings uniquely select a Process Integrity Auditor recovery with P4-T01 preserved but unexecuted."
DDR-20260809-016,RT-20260809-016,research_control/tasks/RT-20260809-016/DDR-20260809-016.md,director-of-research@0.3.0,task_overlay,candidate-constructor,0.2.0,AJ-RT-20260809-016-001,completed,DDR-20260809-015,false,2026-08-09T17:06:02Z,2026-08-09T17:06:02Z,2026-08-09T17:19:04Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Handoff-0985 selects one bounded P3-T04 background and linear-response construction with Smuggling Auditor Refuter and Validator Engineer perspectives; the validated result routes P4-T01 without adoption target geometry physical cone signature Gate external review or external action.
DDR-20260809-015,RT-20260809-015,research_control/tasks/RT-20260809-015/DDR-20260809-015.md,director-of-research@0.3.0,task_overlay,candidate-constructor,0.2.0,AJ-RT-20260809-015-001,completed,DDR-20260809-014,false,2026-08-09T16:05:03Z,2026-08-09T16:05:03Z,2026-08-09T16:22:39Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Handoff-0984 selects one bounded P3-T03 controlled source refinement with Refuter and Validator Engineer perspectives; the validated result routes P3-T04 without adoption target geometry physical cone signature Gate external review or external action.
