use_id,task_id,artifact_path,object_used,use_category,declared_scope,allowed_use,forbidden_interpretations,no_target_guard_path,audit_status,stress_status,created_at,notes
MUL-RT-20260706-007-009,RT-20260706-007,research_control/tasks/RT-20260705-047/artifacts/source_side_coupling_law_candidate_v1.tex,target_metric_import_guard,blocked_physical_metric_use,Target metric and topology references appear only as explicit import guards,Use only as no-target-import guard evidence,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260705-047/artifacts/source_side_coupling_law_candidate_v1.tex,blocked_by_scope,not_applicable,2026-07-06T07:14:55Z,Covers target metric import guard lines 42 44 69 70 238 260 261
MUL-RT-20260706-007-010,RT-20260706-007,research_control/tasks/RT-20260705-047/artifacts/source_side_coupling_law_candidate_v1.tex,detector_response_block,blocked_physical_metric_use,Detector response language appears only as placeholder or block marker,Use only as fail-closed detector-semantics block,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260705-047/artifacts/source_side_coupling_law_candidate_v1.tex,blocked_by_scope,not_applicable,2026-07-06T07:14:55Z,Covers detector block lines 111 141 183 187 191 242 251 279 317
MUL-RT-20260706-007-011,RT-20260706-007,research_control/tasks/RT-20260705-047/artifacts/source_side_coupling_law_candidate_v1.tex,stress_energy_matter_action_Einstein_import_guard,blocked_physical_metric_use,Stress-energy matter-action Lagrangian and Einstein references appear only as import guards,Use only as fail-closed matter-physics import guard,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260705-047/artifacts/source_side_coupling_law_candidate_v1.tex,blocked_by_scope,not_applicable,2026-07-06T07:14:55Z,Covers stress-energy matter-action Lagrangian Einstein guard lines 226 228 239 240 260 261 332 333 343 344
MUL-RT-20260706-007-012,RT-20260706-007,research_control/current_frontier.md,g_eff,scoped_source_extension_context,Current-frontier scoped source-extension g_eff status only,Use as reader-facing scoped source-extension boundary snapshot,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/current_frontier.md,audited_clean,not_applicable,2026-07-06T07:14:55Z,Covers current-frontier g_eff boundary rows and does not change authority
MUL-RT-20260706-007-013,RT-20260706-007,research_control/current_frontier.md,MetricData(E)_and_m_src_overread_guard,blocked_physical_metric_use,Current-frontier MetricData(E) and metric overread references are blocked-status language only,Use only as reader-facing overread guard,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/current_frontier.md,blocked_by_scope,not_applicable,2026-07-06T07:14:55Z,Covers current-frontier MetricData(E) metric and m_src overread boundaries
MUL-RT-20260706-007-014,RT-20260706-007,research_control/current_frontier.md,matter_coupling,finite_local_witness_context,Current-frontier matter-coupling status is scoped evidence and finite-local continuation context only,Use for bounded construction audit or stress context without matter-coupling derivation,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/current_frontier.md,audited_clean,not_applicable,2026-07-06T07:14:55Z,Covers current-frontier matter-coupling rows with stress-energy matter-action detector and Einstein blocks
MUL-RT-20260706-007-015,RT-20260706-007,research_control/current_frontier.md,finite_toy_metric_response,finite_local_witness_context,Current-frontier finite toy metric-response status is frozen local route context only,Use only as local frozen-negative boundary not global theory rejection,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/current_frontier.md,blocked_by_scope,scoped_obstruction,2026-07-06T07:14:55Z,Covers finite toy metric-response boundary and blocks g_eff scope expansion
MUL-RT-20260706-007-016,RT-20260706-007,registries/DISTANCE_TO_GR_LEDGER.csv,g_eff,scoped_source_extension_context,Distance-to-GR g_eff row records scoped source-extension object only,Use as persistent status boundary for scoped source-extension g_eff,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,registries/DISTANCE_TO_GR_LEDGER.csv,audited_clean,not_applicable,2026-07-06T07:14:55Z,Covers Distance-to-GR g_eff row without status update
MUL-RT-20260706-007-017,RT-20260706-007,registries/DISTANCE_TO_GR_LEDGER.csv,matter_coupling,finite_local_witness_context,Distance-to-GR matter-coupling row records scoped evidence and finite-local precondition only,Use as persistent continuation boundary without matter-coupling adoption,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,registries/DISTANCE_TO_GR_LEDGER.csv,audited_clean,not_applicable,2026-07-06T07:14:55Z,Covers Distance-to-GR matter-coupling row and preserves all downstream blocks
MUL-RT-20260706-007-018,RT-20260706-007,registries/DISTANCE_TO_GR_LEDGER.csv,m_src_metricdata_geff_guard,blocked_physical_metric_use,Distance-to-GR m_src row blocks MetricData(E) and g_eff scope overreads,Use only as persistent overread guard for metric-adjacent status,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,registries/DISTANCE_TO_GR_LEDGER.csv,blocked_by_scope,not_applicable,2026-07-06T07:14:55Z,Covers Distance-to-GR m_src row and blocks MetricData(E) adoption
MUL-RT-20260706-007-019,RT-20260706-007,registries/DISTANCE_TO_GR_LEDGER.csv,finite_toy_metric_response,finite_local_witness_context,Distance-to-GR finite toy metric-response row is frozen local route context only,Use only as local frozen-negative boundary not global theory rejection,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,registries/DISTANCE_TO_GR_LEDGER.csv,blocked_by_scope,scoped_obstruction,2026-07-06T07:14:55Z,Covers Distance-to-GR finite toy metric-response row and blocks promotion
MUL-RT-20260726-011-001,RT-20260726-011,research_control/tasks/RT-20260726-011/artifacts/metric_object_naming_decision_v1.yaml,ScopedMetricStructureRecord_src;g_eff_GSC_cand;bare_g_eff,scoped_source_extension_context,P6-T07 primary scoped-record type exact historical legacy alias and unresolved bare burden only,Use ScopedMetricStructureRecord_src as the primary scoped record and g_eff^{GSC-cand} only as its explicit exact legacy alias,physical_lorentzian_metric;unscoped_g_eff_instance;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260726-011/artifacts/gate_b_readiness_verdict_v1.yaml,audited_clean,not_applicable,2026-07-27T02:16:46Z,Additive naming calibration only; historical bytes and protected scoped status remain unchanged while bare g_eff stays unresolved.
MUL-RT-20260726-011-002,RT-20260726-011,research_control/tasks/RT-20260726-010/artifacts/uniqueness_covariance_robustness_admissibility_obstruction_v1.tex,q_a_epsilon;g_H;tilde_g_a;g_a;g_mu;GateBComparisonForm;detector_calibration_guard;matter_action_guard,finite_local_witness_context,P6 comparison forms are task-local Gate-B controls and are not instances or aliases of ScopedMetricStructureRecord_src,Use only for nonselection variation robustness and physical-admissibility audits,physical_lorentzian_metric;ScopedMetricStructureRecord_src_instance;g_eff_GSC_cand_alias_instance;proper_time_normalization;physical_clock_or_rod;detector_calibration;universal_coupling;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260726-010/artifacts/physical_admissibility_matrix_v1.yaml,blocked_by_scope,scoped_obstruction,2026-07-27T02:16:46Z,All eight Gate B criteria remain unmet and no comparison form is adopted as geometry.
MUL-RT-20260726-011-003,RT-20260726-011,research_control/design/distance_to_gr_status_aliases.yaml,ScopedMetricStructureRecord_src;g_eff_GSC_cand;g_mu_nu,blocked_physical_metric_use,Reader-facing primary record exact legacy alias unresolved burden and exact-GR target distinction only,Use as a calibrated current alias boundary with the primary scoped record named first,unscoped_g_eff_instance;source_target_alias_collapse;comparison_form_alias_collapse;proper_time_normalization;detector_calibration;matter_coupling;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260726-011/artifacts/metric_object_alias_migration_plan_v1.yaml,audited_clean,not_applicable,2026-07-27T02:16:46Z,The registered public status source remains byte-stable; the exact-GR target metric is not an alias of the source-side record and the naming change is not a scientific delta.
