entry_id,subject,source_type,debt_status,cost_class,rationale,downstream_use,removal_or_derivation_criterion,source_ref,forbidden_overread
P1T02-COST-011,d_exterior,canonical_exterior_derivative,derived,zero_derived,"Exterior derivative follows functorially from smooth structure","Differential forms only","Retain its exact type and do not overextend it",TEX-ONTOLOGY-AETHER-FLOW-FOUNDATIONS,"Not an affine connection generator or dynamics"
P1T02-COST-012,nabla_src,affine_or_bundle_connection_slot,unresolved,unresolved_blocker,"No source connection is selected","Covariant transport curvature and kinetic terms","Construct from source data and prove covariance",TEX-ONTOLOGY-AETHER-FLOW-DYNAMICS,"No imported Levi-Civita spin or tetrad connection"
P1T02-COST-013,P5_source_tuple,typed_source_theory_object,proposal_only_extension,proposal_debt,"Tuple is a draft/control target","Types fields redundancies observables variations and open slots","Adopt components only with independent source evidence and authority",TEX-V21-P5-T01-COMPACT-SOURCE-THEORY-OBJECT-V1,"Tuple existence does not fill any slot"
P1T02-COST-014,P7SourceMatterPackage_v1,finite_source_matter_package,protected_postulate,bounded_postulate,"Exact finite package is physically adopted by protected postulate","Bounded matter input subject to Position A","Derive meanings and realistic continuum matter or preserve postulate label",TEX-V21-P7-T08-PHYSICAL-MATTER-ADOPTION-DECISION-V1,"No target matter coupling Standard Model or equivalence principle"
P1T02-COST-015,S_dyn,global_source_dynamics_slot,unresolved,unresolved_blocker,"No global source dynamics is adopted","Background response and principal structure","Supply a lawful stable source dynamics with variation domain",TEX-V21-P5-T01-COMPACT-SOURCE-THEORY-OBJECT-V1,"No target Einstein-Hilbert or Einstein equation premise"
P1T02-COST-016,Iso_src_and_Red_src,physical_symmetry_or_redundancy_slot,unresolved,unresolved_blocker,"Draft groupoid types do not establish physical gauge","Constraint reduction and observables","Derive or justify symmetry action and quotient",TEX-V21-P5-T01-COMPACT-SOURCE-THEORY-OBJECT-V1,"No target diffeomorphism imported as source gauge"
P1T02-COST-017,ell_src,physical_scale_or_normalization,unresolved,unresolved_blocker,"No physical scale is selected","Metric scale clocks rods and couplings","Derive source-intrinsic normalization and operational calibration",TEX-ONTOLOGY-AETHER-FLOW-FOUNDATIONS,"No target c G units volume or fitted coefficient"
P1T02-COST-018,P7_operational_protocols,finite_source_operational_semantics,protected_postulate,bounded_postulate,"Finite P7 meanings are protected within exact scope","Bounded preparations detectors and readouts","Derive target-facing calibration and obtain empirical support",TEX-V21-P7-T08-PHYSICAL-MATTER-ADOPTION-DECISION-V1,"No target clock rod location signal or detector"
P1T02-COST-019,target_metric,physical_Lorentzian_metric_target,forbidden_target_import,forbidden_import,"The target is what the program seeks to derive","Future Gate B output only","Derive from source fields and laws without target premises",MD-RECOMMENDATIONS-IMPLEMENTATION-PLAN-CONTINUE-TASK-V22,"Cannot be assumed or renamed emergence"
P1T02-COST-020,coframe_plus_eta,metric_completing_data,forbidden_target_import,forbidden_import,"A fixed Lorentzian coframe package reconstructs g directly","Candidate geometry only after source derivation","Derive coframe and internal form independently or classify as postulation",MD-RECOMMENDATIONS-IMPLEMENTATION-PLAN-CONTINUE-TASK-V22,"Renaming as source frame does not remove metric content"
P1T02-COST-021,Lorentzian_constitutive_tensor,conditionally_metric_bearing_data,forbidden_target_import,forbidden_import,"Closure and single-cone conditions can recover conformal metric data","Candidate principal geometry only after source derivation","Prove source provenance closure hyperbolicity and no-birefringence",MD-RECOMMENDATIONS-IMPLEMENTATION-PLAN-CONTINUE-TASK-V22,"Cannot import target cone or constitutive law"
P1T02-COST-022,Lorentzian_quadratic_form,metric_completing_data,forbidden_target_import,forbidden_import,"A nondegenerate Lorentzian quadratic form is a metric or inverse metric","Candidate geometry only after source derivation","Derive the form from source dynamics or label metric postulation",MD-RECOMMENDATIONS-IMPLEMENTATION-PLAN-CONTINUE-TASK-V22,"Quadratic terminology does not hide metric identity"
P1T02-COST-023,single_cone_principal_polynomial,conditionally_metric_bearing_data,forbidden_target_import,forbidden_import,"A Lorentzian quadratic characteristic factor recovers a conformal class","Candidate conformal geometry after reduced source dynamics","Derive the reduced principal polynomial and prove universality and robustness",MD-RECOMMENDATIONS-IMPLEMENTATION-PLAN-CONTINUE-TASK-V22,"Target cone matching cannot select coefficients"
P1T02-COST-024,volume_structure,orientation_and_density_data,unresolved,unresolved_blocker,"Volume alone does not determine a conformal metric but carries independent debt","Integration and metric scale completion","Derive source density; if paired with conformal class classify as metric-completing",MD-RECOMMENDATIONS-IMPLEMENTATION-PLAN-CONTINUE-TASK-V22,"Target metric volume cannot be silently imported"
