recommendation_id,recommendation_text,primary_phase,primary_task,secondary_tasks,expected_output_paths,validator_or_receipt,physics_promotion_allowed,status,implementation_evidence_path
"V15-R12","Prioritize certificate algebra.","P3","P3-T01","P3-T02;P3-T03;P15-T01;P15-T02","research_control/tasks/<task_id>/artifacts/source_certificate_algebra_primitives_v1.tex;research_control/design/source_certificate_algebra_checklist.md","certificate algebra receipt;support-only formalization receipt;research-control validation","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R13","Return deliberately to EqSrc, RetainH, and GenH.","P5","P5-T01","P5-T02","research_control/tasks/<task_id>/artifacts/eqsrc_retainh_genh_dependency_audit_v1.tex","dependency audit receipt;post-audit selector receipt;research-control validation","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R14","Do not let source-extension success replace derivation.","P6","P6-T01","P6-T02;P6-T03;P13-T01;P19-T01","research_control/design/source_extension_classification_checklist_v1.md","source-extension classification receipt;claim-language validation;coverage audit","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R15","Create minimal countermodels when proofs fail.","P7","P7-T02","P2-T05;P7-T01;P15-T01;P15-T02","research_control/tasks/<task_id>/artifacts/matter_semantics_equivalence_theorem_refuter_stress_v1.tex;research_control/design/refuter_obstruction_schema_v1.md","Refuter stress receipt;countermodel fixture receipt;research-control validation","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R16","Delay Einstein-equation work until dynamics/action prerequisites exist.","P8","P8-T01","P8-T02;P14-T01;P19-T01","research_control/design/einstein_equation_route_moratorium_v1.md","moratorium receipt;prerequisite validator;coverage audit","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R17","Keep distance_to_gr_delta central.","P9","P9-T01","P9-T03;P19-T01;P19-T03","research_control/tasks/<task_id>/artifacts/v15_final_validation_report.json","physics-progress metrics receipt;coverage audit;final validation","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R18","Add scientific payload density metric.","P9","P9-T02","P9-T03;P10-T02;P19-T03","research_control/tasks/<task_id>/artifacts/scientific_payload_density_metric_spec_v1.md","metrics integration receipt;final validation","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R19","Strengthen route-orbit detection.","P10","P10-T01","P10-T02;P10-T03;P19-T03","research_control/design/route_signature_schema_v1.md","route extractor pilot receipt;freeze threshold policy receipt;final validation","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R20","Make Refuter outputs more formal.","P7","P7-T01","P7-T02;P7-T03;P2-T05","research_control/design/refuter_obstruction_schema_v1.md","schema receipt;role/template update receipt;research-control validation","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R21","Promote external red-team review before stronger adoption routes.","P16","P16-T01","P16-T02;P16-T03;P19-T01","research_control/design/external_red_team_packet_template_v1.md","red-team packet receipt;pilot receipt;selector receipt","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R22","Run registry-consistency audit immediately.","P1","P1-T01","P1-T02;P19-T01","research_control/tasks/<task_id>/artifacts/active_state_registry_consistency_audit_v1.md","registry audit receipt;research-control validation;check-diff validation","false","planned_next","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml;research_control/handoffs/handoff-0508.yaml"
"V15-R23","Put registry consistency into CI.","P11","P11-T02","P11-T01;P11-T03;P19-T03","research_control/design/validation_command_inventory_v15.md","CI or local CI-equivalent receipt;documentation-impact validation;final validation","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R24","Create a machine-readable claim graph.","P12","P12-T01","P12-T02;P12-T03;P19-T03","research_control/design/claim_graph_schema_v1.md","claim graph generator receipt;claim graph validation;final validation","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R25","Eliminate bare accepted for high-risk rows.","P13","P13-T01","P13-T02;P13-T03;P19-T01","registries/CLAIM_BOUNDARY_REGISTRY.csv","claim-language validation;alias enforcement receipt;remediation receipt","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R26","Make public docs simpler with what exists / what does not exist.","P14","P14-T01","P14-T02;P14-T03;P19-T02","research_control/design/public_status_exists_does_not_exist_source_spec.md","public status spec receipt;documentation-impact validation;current-frontier refresh","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R27","Add proof-assistant pilots only for small kernels.","P15","P15-T01","P15-T02;P15-T03;P19-T01","research_control/tasks/<task_id>/artifacts/support_only_formalization_pilot.md","support-only scope selector;formalization pilot receipt;coverage audit","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R28","Keep interpretation, model, derivation, and benchmark recovery separate.","P14","P14-T02","P14-T01;P18-T01;P18-T02;P18-T03","research_control/design/epistemic_category_glossary.md","glossary receipt;manuscript boundary receipt;claim-language validation","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R29","Do not present AEther-flow as established ontology.","P14","P14-T01","P14-T02;P14-T03;P18-T03","research_control/design/public_status_exists_does_not_exist_source_spec.md","public-language guard receipt;claim-language validation;manuscript boundary receipt","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R30","Publish negative results as first-class outputs.","P17","P17-T01","P17-T02;P17-T03;P19-T01","research_control/design/negative_result_inventory_v15.md","negative-result inventory receipt;publication brief receipt;coverage audit","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R31","Prepare two manuscripts: physics program and AI methodology.","P18","P18-T01","P18-T02;P18-T03;P19-T01","research_control/tasks/<task_id>/artifacts/physics_manuscript_outline_v15.md;research_control/tasks/<task_id>/artifacts/ai_methodology_manuscript_outline_v15.md","manuscript outline receipts;shared glossary receipt;coverage audit","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
